,clauses,fairness level
0,"['servic', 'sell', 'person', 'data']",0
1,"['servic', 'warn', 'user', 'websit', 'mainten']",0
2,"['request', 'access', 'delet', 'person', 'data']",0
3,"['user', 'inform', 'secur', 'practic']",0
4,"['servic', 'provid', 'complaint', 'mechan', 'handl', 'person', 'data']",0
5,"['servic', 'allow', 'opt', 'provid', 'person', 'inform', 'third', 'parti']",0
6,"['user', 'revisit', 'term', 'period', 'although', 'case', 'materi', 'chang', 'servic', 'notifi']",1
7,"['person', 'data', 'aggreg', 'statist']",1
8,"['third', 'parti', 'may', 'involv', 'oper', 'servic']",1
9,"['servic', 'may', 'chang', 'term', 'time', 'user', 'receiv', 'notif', 'chang']",1
10,"['date', 'last', 'updat', 'term']",1
11,"['user', 'agre', 'submit', 'libel', 'harass', 'threaten', 'content']",1
12,"['servic', 'inform', 'user', 'privaci', 'polici', 'appli', 'third', 'parti', 'websit']",1
13,"['person', 'data', 'give', 'third', 'parti']",1
14,"['servic', 'fine', 'user', 'term', 'servic', 'violat']",1
15,"['data', 'may', 'process', 'store', 'anywher', 'world']",1
16,"['servic', 'reserv', 'right', 'disclos', 'person', 'inform', 'without', 'notifi']",1
17,"['servic', 'may', 'keep', 'person', 'data', 'request', 'erasur', 'busi', 'interest', 'legal', 'oblig']",1
18,"['servic', 'may', 'use', 'person', 'inform', 'market', 'purpos']",1
19,"['servic', 'ignor', 'track', 'dnt', 'header', 'track', 'user', 'anyway', 'even', 'set', 'header']",1
20,"['servic', 'may', 'collect', 'use', 'share', 'locat', 'data']",1
21,"['data', 'may', 'process', 'store', 'anywher', 'world']",1
22,"['servic', 'gather', 'inform', 'third', 'parti']",1
23,"['servic', 'hold', 'onto', 'content', 've', 'delet']",1
24,"['servic', 'read', 'privat', 'messag']",1
25,"['servic', 'refer', 'user', 'extern', 'document', 'inform']",1
26,"['servic', 'employ', 'broad', 'copyright', 'licens', 'user', 'content', 'includ', 'right', 'distribut', 'medium']",1
27,"['person', 'data', 'aggreg', 'statist']",1
28,"['failur', 'enforc', 'provis', 'term', 'servic', 'constitut', 'waiver', 'provis']",1
29,"['servic', 'avail', 'use', 'individu', 'non', 'commerci']",1
30,"['servic', 'suspend', 'account', 'sever', 'reason']",1
31,"['block', 'first', 'parti', 'cooki', 'may', 'limit', 'abil', 'use', 'servic']",1
32,"['applic', 'rule', 'term', 'condit', 'guidelin']",1
33,"['distribut', 'disclos', 'account', 'third', 'parti']",1
34,"['servic', 'use', 'content', 'exist', 'futur', 'servic']",1
35,"['servic', 'avail', 'user', 'certain', 'age']",1
36,"['authoris', 'servic', 'charg', 'credit', 'card', 'suppli', 're', 'occur', 'basi']",1
37,"['user', 'agre', 'use', 'servic', 'illeg', 'purpos']",1
38,"['condit', 'may', 'chang', 'continu', 'accept', 'infer', 'earlier', 'accept']",1
39,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
40,"['invalid', 'portion', 'term', 'servic', 'entail', 'invalid', 'remaind']",1
41,"['respons', 'maintain', 'secur', 'account', 'activ', 'account']",1
42,"['user', 'perman', 'ban', 'servic', 'allow', 're', 'regist', 'new', 'account']",1
43,"['servic', 'provid', 'a', 'use', 'user', 'sole', 'risk']",1
44,"['servic', 'provid', 'make', 'warranti', 'regard', 'uninterrupt', 'time', 'secur', 'error', 'free', 'servic']",1
45,"['servic', 'may', 'use', 'track', 'pixel', 'web', 'beacon', 'browser', 'fingerprint', 'and', 'or', 'devic', 'fingerprint', 'user']",1
46,"['servic', 'use', 'person', 'data', 'employ', 'target', 'third', 'parti', 'advertis']",1
47,"['servic', 'track', 'websit']",1
48,"['servic', 'sell', 'otherwis', 'transfer', 'person', 'data', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
49,"['servic', 'use', 'third', 'parti', 'track', 'pixel', 'track', 'social', 'medium', 'convers']",1
50,"['liabil', 'behalf', 'servic', 'limit', 'fee', 'pay', 'user']",1
51,"['user', 'shall', 'interfer', 'anoth', 'person', 's', 'enjoy', 'servic']",1
52,"['servic', 'keep', 'licens', 'user', 'gener', 'content', 'even', 'user', 'close', 'account']",1
53,"['servic', 'licens', 'user', 'content', 'third', 'parti']",1
54,"['waiv', 'right', 'class', 'action']",1
55,"['servic', 'forc', 'user', 'bind', 'arbitr', 'case', 'disput']",1
56,"['copyright', 'licens', 'maintain', 'servic', 'user', 'data', 'and', 'or', 'content', 'broader', 'necessari']",1
57,"['person', 'data', 'may', 'keep', 'busi', 'interest', 'legal', 'oblig']",1
58,"['waiv', 'moral', 'right']",1
59,"['servic', 'delet', 'specif', 'content', 'without', 'prior', 'notic', 'without', 'reason']",1
60,"['servic', 'provid', 'two', 'factor', 'authentif', 'account']",0
61,"['user', 'entitl', 'refund', 'certain', 'threshold', 'standard', 'meet', 'servic']",0
62,"['offer', 'suggest', 'servic', 'may', 'use', 'without', 'approv', 'compens', 'becom', 'owner']",0
63,"['request', 'access', 'correct', 'and', 'or', 'delet', 'data']",0
64,"['servic', 'delet', 'track', 'data', 'period', 'time', 'allow', 'opt']",0
65,"['servic', 'allow', 'use', 'pseudonym']",0
66,"['maintain', 'ownership', 'content']",0
67,"['user', 'right', 'refus', 'materi', 'amend', 'term', 'servic']",0
68,"['servic', 'collect', 'ip', 'address', 'use', 'view', 'approxim', 'locat']",1
69,"['date', 'last', 'updat', 'agreement']",1
70,"['must', 'creat', 'account', 'use', 'servic']",1
71,"['court', 'law', 'govern', 'term', 'netherland']",1
72,"['servic', 'track', 'web', 'page', 'refer']",1
73,"['spotifi', 'state', 'risk', 'public', 'inform']",0
74,"['servic', 'allow', 'retriev', 'archiv', 'data']",0
75,"['offer', 'suggest', 'servic', 'may', 'use', 'without', 'approv', 'compens', 'becom', 'owner']",0
76,"['servic', 'non', 'exclus', 'use', 'content']",0
77,"['right', 'leav', 'servic', 'time']",0
78,"['servic', 'provid', 'free', 'help', 'desk']",0
79,"['request', 'access', 'delet', 'person', 'data']",0
80,"['opt', 'promot', 'commun']",0
81,"['maintain', 'ownership', 'content']",0
82,"['to', 'translat', 'languag']",1
83,"['defend', 'indemnifi', 'hold', 'harmless', 'surviv', 'termin']",1
84,"['servic', 'provid', 'make', 'warranti', 'regard', 'uninterrupt', 'time', 'secur', 'error', 'free', 'servic']",1
85,"['agre', 'defend', 'indemnifi', 'hold', 'servic', 'harmless', 'case', 'claim', 'relat', 'use', 'servic']",1
86,"['servic', 'distribut', 'content', 'medium', 'know', 'futur']",1
87,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
88,"['user', 'agre', 'use', 'servic', 'illeg', 'purpos']",1
89,"['respons', 'maintain', 'secur', 'account', 'activ', 'account']",1
90,"['servic', 'condon', 'idea', 'contain', 'user', 'gener', 'content']",1
91,"['authoris', 'servic', 'charg', 'credit', 'card', 'suppli', 're', 'occur', 'basi']",1
92,"['servic', 'avail', 'user', 'certain', 'age']",1
93,"['third', 'parti', 'may', 'involv', 'oper', 'servic']",1
94,"['date', 'last', 'updat', 'term']",1
95,"['servic', 'avail', 'use', 'individu', 'non', 'commerci']",1
96,"['servic', 'may', 'chang', 'term', 'time', 'user', 'receiv', 'notif', 'chang']",1
97,"['servic', 'refund', 'polici']",1
98,"['may', 'stop', 'provid', 'servic', 'time']",1
99,"['distribut', 'disclos', 'account', 'third', 'parti']",1
100,"['applic', 'rule', 'term', 'condit', 'guidelin']",1
101,"['servic', 'assum', 'respons', 'liabil', 'content', 'link', 'websit']",1
102,"['spider', 'crawl', 'allow']",1
103,"['user', 'agre', 'submit', 'libel', 'harass', 'threaten', 'content']",1
104,"['servic', 'prohibit', 'user', 'send', 'chain', 'letter', 'junk', 'mail', 'spam', 'unsolicit', 'messag']",1
105,"['target', 'copyright', 'claim', 'content', 'may', 'remov']",1
106,"['servic', 'give', 'guarante', 'regard', 'qualiti']",1
107,"['servic', 'prohibit', 'user', 'attempt', 'gain', 'unauthor', 'access', 'comput', 'system']",1
108,"['servic', 'provid', 'a', 'use', 'user', 'sole', 'risk']",1
109,"['servic', 'respons', 'link', 'clearli', 'quot', 'content', 'third', 'parti', 'content', 'provid']",1
110,"['servic', 'guarante', 'product', 'obtain', 'meet', 'user', 'expect', 'requir']",1
111,"['invalid', 'portion', 'term', 'servic', 'entail', 'invalid', 'remaind']",1
112,"['failur', 'enforc', 'provis', 'term', 'servic', 'constitut', 'waiver', 'provis']",1
113,"['prohibit', 'post', 'pornograph', 'content']",1
114,"['respons', 'maintain', 'secur', 'account', 'activ', 'account']",1
115,"['agre', 'defend', 'indemnifi', 'hold', 'servic', 'harmless', 'case', 'claim', 'relat', 'use', 'servic']",1
116,"['servic', 'may', 'keep', 'person', 'data', 'request', 'erasur', 'busi', 'interest', 'legal', 'oblig']",1
117,"['servic', 'sell', 'otherwis', 'transfer', 'person', 'data', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
118,"['servic', 'licens', 'user', 'content', 'third', 'parti']",1
119,"['servic', 'retain', 'right', 'content', 'even', 'stop', 'use', 'account']",1
120,"['servic', 'may', 'use', 'person', 'inform', 'market', 'purpos']",1
121,"['servic', 'use', 'person', 'data', 'advertis']",1
122,"['usernam', 'reject', 'reason']",1
123,"['liabil', 'behalf', 'servic', 'limit', 'fee', 'pay', 'user']",1
124,"['servic', 'guarante', 'softwar', 'error', 'correct']",1
125,"['user', 'reduc', 'time', 'period', 'take', 'legal', 'action', 'servic']",1
126,"['servic', 'forc', 'user', 'bind', 'arbitr', 'case', 'disput']",1
127,"['promis', 'inform', 'govern', 'request']",1
128,"['instead', 'ask', 'directli', 'servic', 'assum', 'consent', 'mere', 'usag']",1
129,"['voic', 'data', 'collect', 'share', 'third', 'parti']",1
130,"['account', 'delet', 'without', 'prior', 'notic', 'without', 'reason']",1
131,"['servic', 'delet', 'specif', 'content', 'without', 'reason', 'may', 'without', 'prior', 'notic']",1
132,"['ip', 'address', 'collect', 'use', 'view', 'approxim', 'locat']",1
133,"['term', 'may', 'chang', 'time', 'receiv', 'notif', 'chang']",1
134,"['servic', 'condon', 'idea', 'contain', 'user', 'gener', 'content']",1
135,"['block', 'first', 'parti', 'cooki', 'may', 'limit', 'abil', 'use', 'servic']",1
136,"['respons', 'risk', 'damag', 'loss', 'may', 'incur', 'download', 'materi']",1
137,"['servic', 'receiv', 'precis', 'locat', 'gp', 'coordin']",1
138,"['track', 'via', 'web', 'beacon', 'track', 'pixel', 'browser', 'fingerprint', 'and', 'or', 'devic', 'fingerprint']",1
139,"['account', 'delet', 'without', 'prior', 'notic', 'without', 'reason']",1
140,"['track', 'dnt', 'header', 'ignor', 'track', 'anyway', 'even', 'set', 'header']",1
141,"['store', 'data', 'even', 'interact', 'servic']",1
142,"['servic', 'hold', 'onto', 'content', 've', 'delet']",1
143,"['archiv', 'agreement', 'provid', 'chang', 'view', 'time']",0
144,"['inform', 'provid', 'person', 'data', 'use']",0
145,"['inform', 'provid', 'collect', 'person', 'data']",0
146,"['data', 'retent', 'period', 'keep', 'minimum', 'necessari', 'fulfil', 'purpos']",0
147,"['log', 'delet', 'finit', 'period', 'time']",0
148,"['opt', 'promot', 'commun']",0
149,"['limit', 'copyright', 'licens', 'wordpress', 'com', 'includ', 'promot']",0
150,"['person', 'data', 'sell']",0
151,"['data', 'retent', 'period', 'keep', 'minimum', 'necessari', 'fulfil', 'purpos']",0
152,"['retriev', 'archiv', 'data']",0
153,"['servic', 'respond', 'govern', 'request', 'reason']",0
154,"['servic', 'claim', 'gdpr', 'compliant', 'european', 'user']",0
155,"['access', 'page', 'servic', 's', 'websit', 'without', 'reveal', 'person', 'inform']",0
156,"['person', 'data', 'use', 'limit', 'purpos']",0
157,"['list', 'cooki', 'set', 'websit', 'provid']",0
158,"['featur', 'websit', 'make', 'avail', 'free', 'softwar', 'licens']",0
159,"['request', 'access', 'correct', 'and', 'or', 'delet', 'data']",0
160,"['servic', 'assum', 'respons', 'liabil', 'content', 'link', 'websit']",1
161,"['person', 'data', 'aggreg', 'statist']",1
162,"['servic', 'inform', 'user', 'privaci', 'polici', 'appli', 'third', 'parti', 'websit']",1
163,"['term', 'may', 'chang', 'time', 'discret', 'without', 'notic']",1
164,"['third', 'parti', 'cooki', 'use', 'statist']",1
165,"['track', 'via', 'social', 'medium', 'cooki', 'pixel']",1
166,"['third', 'parti', 'cooki', 'use', 'advertis']",1
167,"['servic', 'employ', 'third', 'parti', 'cooki', 'opt', 'out', 'instruct']",1
168,"['maintain', 'ownership', 'data']",0
169,"['choos', 'copyright', 'licens']",0
170,"['user', 'perman', 'ban', 'servic', 'allow', 're', 'regist', 'new', 'account']",0
171,"['servic', 'guarante', 'product', 'obtain', 'meet', 'user', 'expect', 'requir']",1
172,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
173,"['respons', 'maintain', 'secur', 'account', 'activ', 'account']",1
174,"['servic', 'provid', 'make', 'warranti', 'regard', 'uninterrupt', 'time', 'secur', 'error', 'free', 'servic']",1
175,"['must', 'report', 'servic', 'unauthor', 'use', 'account', 'breach', 'secur']",1
176,"['servic', 'delet', 'account', 'without', 'prior', 'notic', 'without', 'reason']",1
177,"['servic', 'forc', 'user', 'bind', 'arbitr', 'case', 'disput']",1
178,"['servic', 'share', 'person', 'inform', 'third', 'parti']",1
179,"['person', 'data', 'give', 'third', 'parti']",1
180,"['servic', 'may', 'use', 'track', 'pixel', 'web', 'beacon', 'browser', 'fingerprint', 'and', 'or', 'devic', 'fingerprint', 'user']",1
181,"['servic', 'sell', 'otherwis', 'transfer', 'person', 'data', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
182,"['waiv', 'right', 'class', 'action']",1
183,"['servic', 'track', 'websit']",1
184,"['servic', 'guarante', 'softwar', 'error', 'correct']",1
185,"['instead', 'ask', 'directli', 'servic', 'assum', 'consent', 'mere', 'usag']",1
186,"['servic', 'read', 'privat', 'messag']",1
187,"['instead', 'ask', 'directli', 'servic', 'assum', 'consent', 'mere', 'usag']",1
188,"['track', 'dnt', 'header', 'ignor', 'track', 'anyway', 'even', 'set', 'header']",1
189,"['person', 'data', 'may', 'sell', 'otherwis', 'transfer', 'part', 'bankruptci', 'proceed', 'type', 'financi', 'transact']",1
190,"['servic', 'share', 'user', 'inform', 'third', 'parti']",0
191,"['servic', 'sell', 'person', 'data']",0
192,"['ip', 'address', 'websit', 'visitor', 'track']",0
193,"['servic', 'resist', 'legal', 'request', 'user', 'inform', 'reason', 'possibl']",0
194,"['servic', 'track']",0
195,"['person', 'data', 'use', 'limit', 'purpos']",0
196,"['right', 'leav', 'servic', 'time']",0
197,"['user', 'gener', 'content', 'encrypt', 'servic', 'decrypt']",0
198,"['servic', 'use', 'third', 'parti', 'analyt', 'track', 'platform']",0
199,"['servic', 'provid', 'onion', 'site', 'access', 'tor']",0
200,"['servic', 'assum', 'liabil', 'loss', 'damag', 'result', 'matter', 'relat', 'servic']",1
201,"['servic', 'provid', 'make', 'warranti', 'regard', 'uninterrupt', 'time', 'secur', 'error', 'free', 'servic']",1
202,"['user', 'agre', 'submit', 'libel', 'harass', 'threaten', 'content']",1
203,"['servic', 'guarante', 'product', 'obtain', 'meet', 'user', 'expect', 'requir']",1
204,"['person', 'data', 'aggreg', 'statist']",1
205,"['servic', 'delet', 'account', 'without', 'prior', 'notic', 'without', 'reason']",1
206,"['term', 'servic', 'easi', 'read', 'includ', 'plain', 'languag', 'summari']",0
207,"['servic', 'warn', 'potenti', 'consequ', 'relat', 'third', 'parti', 'access']",0
208,"['servic', 's', 'data', 'retent', 'period', 'keep', 'minimum', 'necessari', 'fulfil', 'purpos']",0
209,"['servic', 'warn', 'potenti', 'consequ', 'relat', 'third', 'parti', 'access']",0
210,"['person', 'data', 'sell']",0
211,"['inform', 'provid', 'collect', 'person', 'data']",0
212,"['may', 'stop', 'provid', 'servic', 'time']",1
213,"['third', 'parti', 'may', 'involv', 'oper', 'servic']",1
