clauses,fairness level
this service does not sell your personal data,0
this service will warn users about website maintenance,0
you can request access and deletion of personal data,0
the user is informed about security practices,0
the service provides a complaint mechanism for the handling of personal data,0
the service allows you to opt out of providing personal information to third parties,0
"users should revisit the terms periodically, although in case of material changes, the service will notify",1
your personal data is aggregated into statistics,1
third parties may be involved in operating the service,1
"the service may change its terms at any time, but the user will receive notification of the changes.",1
there is a date of the last update of the terms,1
"users agree not to submit libelous, harassing or threatening content",1
the service informs users that its privacy policy does not apply to third party websites,1
your personal data is given to third parties,1
service fines users for terms of service violations,1
your data may be processed and stored anywhere in the world,1
this service reserves the right to disclose your personal information without notifying you,1
this service may keep personal data after a request for erasure for business interests or legal obligations,1
this service may use your personal information for marketing purposes,1
this service ignores the do not track (dnt) header and tracks users anyway even if they set this header.,1
"this service may collect, use, and share location data",1
your data may be processed and stored anywhere in the world,1
this service gathers information about you through third parties,1
this service holds onto content that you've deleted,1
the service can read your private messages,1
the service refers users to external documents for more information,1
this service employs a broad copyright license over user content including the right to distribute through any media,1
your personal data is aggregated into statistics,1
failure to enforce any provision of the terms of service does not constitute a waiver of such provision,1
this service is only available for use individually and non-commercially.,1
the service can suspend your account for several reasons,1
blocking first party cookies may limit your ability to use the service,1
"other applicable rules, terms, conditions or guidelines",1
you cannot distribute or disclose your account to third parties,1
this service can use your content for all their existing and future services,1
this service is only available to users over a certain age,1
you authorise the service to charge a credit card supplied on re-occurring basis,1
users agree not to use the service for illegal purposes,1
"conditions may change, but your continued acceptance is not inferred from an earlier acceptance",1
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
invalidity of any portion of the terms of service does not entail invalidity of its remainder,1
you are responsible for maintaining the security of your account and for the activities on your account,1
users who have been permanently banned from this service are not allowed to re-register under a new account,1
the service is provided 'as is' and to be used at the users' sole risk,1
"the service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",1
"the service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",1
the service uses your personal data to employ targeted third-party advertising,1
this service tracks you on other websites,1
the service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,1
the service uses third party tracking pixels to track social media conversion,1
any liability on behalf of the service is only limited to the fees you paid as a user,1
users shall not interfere with another person's enjoyment of the service,1
this service keeps a license on user-generated content even after users close their accounts,1
this service can license user content to third parties,1
you waive your right to a class action.,1
this service forces users into binding arbitration in the case of disputes,1
the copyright license maintained by the service over user data and/or content is broader than necessary.,1
some personal data may be kept for business interests or legal obligations,1
you waive your moral rights,1
the service can delete specific content without prior notice and without a reason,1
the service provides two factor authentification for your account,0
users are entitled to a refund if certain thresholds or standards are not met by the service,0
"if you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",0
"you can request access, correction and/or deletion of your data",0
the service deletes tracking data after a period of time and allows you to opt out,0
the service allows you to use pseudonyms,0
you maintain ownership of your content.,0
users have the right to refuse material amendments to the terms of service.,0
"this service collects your ip address, which can be used to view your approximate location",1
there is a date of the last update of the agreements,1
you must create an account to use this service,1
the court of law governing the terms is in netherlands,1
this service tracks which web page referred you to it,1
spotify states risks of public information,0
this service allows you to retrieve an archive of your data,0
"if you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",0
the service has non-exclusive use of your content,0
you have the right to leave this service at any time,0
the service provides a free help desk,0
you can request access and deletion of personal data,0
you can opt out of promotional communications,0
you maintain ownership of your content,0
the tos are only translated into a few languages,1
"defend, indemnify, hold harmless; survives termination",1
"the service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",1
"you agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",1
the service can distribute your content through any media known now or in the future,1
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
users agree not to use the service for illegal purposes,1
you are responsible for maintaining the security of your account and for the activities on your account,1
this service does not condone any ideas contained in its user-generated contents,1
you authorise the service to charge a credit card supplied on re-occurring basis,1
this service is only available to users over a certain age,1
third parties may be involved in operating the service,1
there is a date of the last update of the terms,1
this service is only available for use individually and non-commercially.,1
"the service may change its terms at any time, but the user will receive notification of the changes.",1
the service has a no refund policy,1
they may stop providing the service at any time,1
you cannot distribute or disclose your account to third parties,1
"other applicable rules, terms, conditions or guidelines",1
this service assumes no responsibility and liability for the contents of links to other websites,1
spidering or crawling is not allowed,1
"users agree not to submit libelous, harassing or threatening content",1
"this service prohibits users sending chain letters, junk mail, spam or any unsolicited messages",1
"if you are the target of a copyright claim, your content may be removed",1
this services gives no guarantee regarding quality,1
this service prohibits users from attempting to gain unauthorized access to other computer systems,1
the service is provided 'as is' and to be used at the users' sole risk,1
the service is not responsible for linked or (clearly) quoted content from third-party content providers,1
this service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,1
invalidity of any portion of the terms of service does not entail invalidity of its remainder,1
failure to enforce any provision of the terms of service does not constitute a waiver of such provision,1
prohibits the posting of pornographic content,1
you are responsible for maintaining the security of your account and for the activities on your account,1
"you agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",1
this service may keep personal data after a request for erasure for business interests or legal obligations,1
the service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,1
this service can license user content to third parties,1
this service retains rights to your content even after you stop using your account,1
this service may use your personal information for marketing purposes,1
the service uses your personal data for advertising,1
usernames can be rejected for any reason,1
any liability on behalf of the service is only limited to the fees you paid as a user,1
the service does not guarantee that software errors will be corrected,1
users have a reduced time period to take legal action against the service,1
this service forces users into binding arbitration in the case of disputes,1
no promise to inform about government requests,1
"instead of asking directly, this service will assume your consent merely from your usage.",1
voice data is collected and shared with third-parties,1
your account can be deleted without prior notice and without a reason,1
the service can delete specific content without reason and may do it without prior notice,1
"your ip address is collected, which can be used to view your approximate location",1
"the terms may be changed at any time, but you will receive notification of the changes",1
this service does not condone any ideas contained in its user-generated contents,1
blocking first party cookies may limit your ability to use the service,1
"you are responsible for any risks, damages, or losses that may incur by downloading materials",1
this service receives your precise location through gps coordinates,1
"you are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",1
your account can be deleted without prior notice and without a reason,1
do not track (dnt) headers are ignored and you are tracked anyway even if you set this header.,1
they store data on you even if you did not interact with the service,1
this service holds onto content that you've deleted,1
archives of their agreements are provided so that changes can be viewed over time,0
information is provided about how your personal data is used,0
information is provided about how they collect personal data,0
the data retention period is kept to the minimum necessary for fulfilling its purposes,0
logs are deleted after a finite period of time,0
you can opt out of promotional communications,0
limited copyright license to wordpress.com including for promotion,0
your personal data is not sold,0
the data retention period is kept to the minimum necessary for fulfilling its purposes,0
you can retrieve an archive of your data,0
the service will only respond to government requests that are reasonable,0
the service claims to be gdpr compliant for european users,0
you can access most of the pages on the service's website without revealing any personal information,0
your personal data is used for limited purposes,0
a list of all cookies set by the website is provided,0
features of the website are made available under a free software license,0
"you can request access, correction and/or deletion of your data",0
this service assumes no responsibility and liability for the contents of links to other websites,1
your personal data is aggregated into statistics,1
the service informs users that its privacy policy does not apply to third party websites,1
"terms may be changed any time at their discretion, without notice to you",1
third-party cookies are used for statistics,1
you are being tracked via social media cookies/pixels,1
third-party cookies are used for advertising,1
"this service employs third-party cookies, but with opt-out instructions",1
you maintain ownership of your data,0
you can choose the copyright license,0
users who have been permanently banned from this service are not allowed to re-register under a new account,0
this service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,1
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
you are responsible for maintaining the security of your account and for the activities on your account,1
"the service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",1
you must report to the service any unauthorized use of your account or any breach of security,1
the service can delete your account without prior notice and without a reason,1
this service forces users into binding arbitration in the case of disputes,1
this service can share your personal information to third parties,1
your personal data is given to third parties,1
"the service may use tracking pixels, web beacons, browser fingerprinting, and/or device fingerprinting on users.",1
the service can sell or otherwise transfer your personal data as part of a bankruptcy proceeding or other type of financial transaction.,1
you waive your right to a class action.,1
this service tracks you on other websites,1
the service does not guarantee that software errors will be corrected,1
"instead of asking directly, this service will assume your consent merely from your usage.",1
the service can read your private messages,1
"instead of asking directly, this service will assume your consent merely from your usage.",1
do not track (dnt) headers are ignored and you are tracked anyway even if you set this header.,1
your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,1
the service does not share user information with third parties,0
this service does not sell your personal data,0
ip addresses of website visitors are not tracked,0
the service will resist legal requests for user information where reasonably possible,0
this service does not track you,0
your personal data is used for limited purposes,0
you have the right to leave this service at any time,0
"user-generated content is encrypted, and this service cannot decrypt it",0
the service does not use third-party analytics or tracking platforms,0
this service provides an onion site accessible over tor,0
this service assumes no liability for any losses or damages resulting from any matter relating to the service,1
"the service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",1
"users agree not to submit libelous, harassing or threatening content",1
this service does not guarantee that it or the products obtained through it meet the users' expectations or requirements,1
your personal data is aggregated into statistics,1
the service can delete your account without prior notice and without a reason,1
the terms for this service are easy to read and include plain language summaries,0
the service warns you of the potential consequences related to third-party access,0
the service's data retention period is kept to the minimum necessary for fulfilling its purposes,0
the service warns you of the potential consequences related to third-party access,0
your personal data is not sold,0
